HDR|path|body|mass_kg|vol_cm3|area_cm2|cx_cm|cy_cm|cz_cm|Ixx|Iyy|Izz|Ixy|Iyz|Ixz|material|density|visible|lightbulb|solid
/2026 MASTER INTAKE v2:1/Engine:1/11-09-0207_kryt_kola v267 (1):1/90910A941 (1):1|Body1|0.000165574|0.0385629|1.21992|28.676|-3.9597|3.2095|0.0043039|0.137867|0.138757|0.0188006|0.0021042|-0.0152384|Intake assembly + engine|4293.61|1|1|1
/2026 MASTER INTAKE v2:1/Engine:1/11-09-0207_kryt_kola v267 (1):1/11-09-0407-00_klobouk bocni vstupy (1) (1):1|Body1|0.0615507|14.3354|293.49|29.752|-0.11514|4.27|2.82431|56.5172|55.4044|0.213641|0.036868|-7.82092|Intake assembly + engine|4293.61|1|1|1
/2026 MASTER INTAKE v2:1/Engine:1/11-09-0207_kryt_kola v267 (1):1/Pruchodka-KDF6 (1):1|Body1|0.00134943|0.314289|5.25953|30.379|4.1341|7.8699|0.106814|1.32918|1.26865|-0.169474|-0.04385|-0.322621|Intake assembly + engine|4293.61|1|1|1
/2026 MASTER INTAKE v2:1/Engine:1/11-09-0207_kryt_kola v267 (1):1/90910A941 (1):2|Body1|0.000165574|0.0385629|1.21992|28.676|2.9005|1.3748|0.00170821|0.136474|0.137554|-0.0137714|-0.000660259|-0.00652768|Intake assembly + engine|4293.61|1|1|1
/2026 MASTER INTAKE v2:1/Engine:1/11-09-0207_kryt_kola v267 (1):1/90910A941 (1):3|Body1|0.000165574|0.0385629|1.21992|28.676|1.0592|8.2332|0.0114117|0.147385|0.136347|-0.00502915|-0.00144394|-0.0390912|Intake assembly + engine|4293.61|1|1|1
/2026 MASTER INTAKE v2:1/Engine:1/11-04-1405_02_plast v27 (1):1/11-04-1405-02-plast model (1):1|Body1|0.27475|63.9905|963.2|39.931|5.8788e-05|4.2704|13.1397|452.352|447.344|-0.000547832|-0.000195139|-46.8545|Intake assembly + engine|4293.61|1|1|1
/2026 MASTER INTAKE v2:1/Engine:1/11-12-1002-04_blok_ventilu v74 (1):1/Fitinka-L (1):1|Body1|0.00522047|1.21587|13.3328|30.79|0.0030192|-1.692|0.0161062|4.9669|4.95134|-0.000484963|2.69805e-05|0.271324|Intake assembly + engine|4293.61|1|1|1
/2026 MASTER INTAKE v2:1/Engine:1/11-04-1102_zadni_viko v1 (1):1|Body1|0.00952284|2.21791|91.7796|45.616|-3.4626e-10|4.2725|0.356789|20.0807|19.9068|1.50125e-10|1.86034e-11|-1.85595|Intake assembly + engine|4293.61|1|1|1
/2026 MASTER INTAKE v2:1/Engine:1/11-11-1000-01-StarterBLDC v69 (1):1/11-11-1002-02-VickoPredni (1):1|Body1|0.0144444|3.36417|18.511|22.289|-2.6685e-10|4.2725|0.276332|7.44658|7.18224|8.58222e-11|0.000109145|-1.37552|Intake assembly + engine|4293.61|1|1|1
/2026 MASTER INTAKE v2:1/Engine:1/11-11-1000-01-StarterBLDC v69 (1):1/M3x10-91292A111 (1):1|Body1|0.000400239|0.0932173|1.93851|22.285|-0.83949|4.139|0.00715095|0.205656|0.199081|0.00748774|0.0013907|-0.0369177|Intake assembly + engine|4293.61|1|1|1
/2026 MASTER INTAKE v2:1/Engine:1/11-11-1000-01-StarterBLDC v69 (1):1/11-11-1001-06-UchytStarteruBLDC (1):1|Body1|0.0399039|9.29378|107.764|25.928|6.186e-07|4.2725|0.87702|27.7037|27.0304|-6.92488e-07|0.0378696|-4.42049|Intake assembly + engine|4293.61|1|1|1
/2026 MASTER INTAKE v2:1/Engine:1/11-11-1000-01-StarterBLDC v69 (1):1/O-Kr-22x2.5-FPM80 (1):1|Body1|0.00162222|0.377821|6.04513|22.549|-2.4651e-14|4.2725|0.0320659|0.855673|0.82606|8.95284e-16|1.69448e-16|-0.156286|Intake assembly + engine|4293.61|1|1|1
/2026 MASTER INTAKE v2:1/Engine:1/11-11-1000-01-StarterBLDC v69 (1):1/M3x10-91292A111 (1):2|Body1|0.000400239|0.0932173|1.93851|22.285|0.83954|4.4059|0.00806357|0.206568|0.199081|-0.00748818|-0.00148045|-0.0392977|Intake assembly + engine|4293.61|1|1|1
/2026 MASTER INTAKE v2:1/Engine:1/11s-03-1001_tryska_MODEL v34 (1):1/11s-03-1201-03_vnejsi_kuzel (1):1|Body1|0.0356451|8.3019|210.849|47.558|-2.7404e-14|4.2725|1.02896|81.5315|80.8808|4.8339e-14|3.09107e-15|-7.24277|Intake assembly + engine|4293.61|1|1|1
/2026 MASTER INTAKE v2:1/Engine:1/M3x6-Pulkul-Torx (1):1|Body1|0.000256143|0.0596569|1.58461|32.469|1.1378|-1.0668|0.000638432|0.27034|0.270371|-0.00946291|0.000312922|0.00887249|Intake assembly + engine|4293.61|1|1|1
/2026 MASTER INTAKE v2:1/Engine:1/(BRACKETS)11-15-2000-00-H16_Uchyt2 v16:1/11-15-2002-00-Uchyt-Horni (1):1|Body1|0.0102815|2.3946|63.25|36.227|0.0016891|0.93557|0.218994|13.54|13.6707|-0.000629144|-8.69732e-05|-0.348474|Intake assembly + engine|4293.61|1|1|1
/2026 MASTER INTAKE v2:1/Engine:1/(BRACKETS)11-15-2000-00-H16_Uchyt2 v16:1/11-15-2001-00-Uchyt-Spodni (1):1|Body1|0.0267632|6.23325|164.466|38.677|-0.0013126|6.8657|2.01386|41.5616|40.8137|0.00135874|-1.87662e-05|-7.10689|Intake assembly + engine|4293.61|1|1|1
/2026 MASTER INTAKE v2:1/Engine:1/(BRACKETS)11-15-2000-00-H16_Uchyt2 v16:1/M3-nytovaci_matice (1):1|Body1|0.000530313|0.123512|2.59887|36.227|6.058|4.5982|0.0307115|0.707247|0.715485|-0.116385|-0.0147723|-0.0883405|Intake assembly + engine|4293.61|1|1|1
/2026 MASTER INTAKE v2:1/Engine:1/(BRACKETS)11-15-2000-00-H16_Uchyt2 v16:1/93475A210_18-8 Stainless Steel Washer (1):1|Body1|7.84237e-05|0.0182652|0.801106|36.227|6.0556|4.0156|0.00414332|0.104193|0.105807|-0.0172045|-0.00190701|-0.0114086|Intake assembly + engine|4293.61|1|1|1
/2026 MASTER INTAKE v2:1/Engine:1/(BRACKETS)11-15-2000-00-H16_Uchyt2 v16:1/90751A113_18-8 Stainless Steel Socket Head Screws (1):1|Body1|0.000568632|0.132437|3.01373|36.227|6.0555|4.2495|0.031243|0.75668|0.767154|-0.124744|-0.0146327|-0.0875408|Intake assembly + engine|4293.61|1|1|1
/2026 MASTER INTAKE v2:1/Engine:1/(BRACKETS)11-15-2000-00-H16_Uchyt2 v16:1/11-15-2002-00-Uchyt-Horni (1):2|Body1|0.0102815|2.3946|63.25|41.127|0.0016891|0.93557|0.218994|17.4371|17.5678|-0.000714239|-8.69732e-05|-0.395607|Intake assembly + engine|4293.61|1|1|1
/2026 MASTER INTAKE v2:1/Engine:1/(BRACKETS)11-15-2000-00-H16_Uchyt2 v16:1/M3-nytovaci_matice (1):2|Body1|0.000530313|0.123512|2.59887|41.127|6.058|4.5982|0.0307115|0.908257|0.916494|-0.132127|-0.0147723|-0.100289|Intake assembly + engine|4293.61|1|1|1
/2026 MASTER INTAKE v2:1/Engine:1/(BRACKETS)11-15-2000-00-H16_Uchyt2 v16:1/M3-nytovaci_matice (1):3|Body1|0.000530313|0.123512|2.59887|36.227|-6.0583|4.5921|0.0306837|0.707217|0.715487|0.116391|0.0147534|-0.0882226|Intake assembly + engine|4293.61|1|1|1
/2026 MASTER INTAKE v2:1/Engine:1/(BRACKETS)11-15-2000-00-H16_Uchyt2 v16:1/M3-nytovaci_matice (1):4|Body1|0.000530313|0.123512|2.59887|41.127|-6.0583|4.5921|0.0306837|0.908227|0.916496|0.132134|0.0147534|-0.100155|Intake assembly + engine|4293.61|1|1|1
/2026 MASTER INTAKE v2:1/Engine:1/(BRACKETS)11-15-2000-00-H16_Uchyt2 v16:1/93475A210_18-8 Stainless Steel Washer (1):2|Body1|7.84237e-05|0.0182652|0.801106|41.127|6.0556|4.0156|0.00414332|0.133919|0.135533|-0.0195315|-0.00190701|-0.0129517|Intake assembly + engine|4293.61|1|1|1
/2026 MASTER INTAKE v2:1/Engine:1/(BRACKETS)11-15-2000-00-H16_Uchyt2 v16:1/93475A210_18-8 Stainless Steel Washer (1):3|Body1|7.84237e-05|0.0182652|0.801106|41.127|-6.0553|4.0094|0.00413921|0.133915|0.135533|0.0195307|0.00190401|-0.0129319|Intake assembly + engine|4293.61|1|1|1
/2026 MASTER INTAKE v2:1/Engine:1/(BRACKETS)11-15-2000-00-H16_Uchyt2 v16:1/93475A210_18-8 Stainless Steel Washer (1):4|Body1|7.84237e-05|0.0182652|0.801106|36.227|-6.0553|4.0094|0.00413921|0.104189|0.105807|0.0172038|0.00190401|-0.0113912|Intake assembly + engine|4293.61|1|1|1
/2026 MASTER INTAKE v2:1/Engine:1/(BRACKETS)11-15-2000-00-H16_Uchyt2 v16:1/90751A113_18-8 Stainless Steel Socket Head Screws (1):2|Body1|0.000568632|0.132437|3.01373|41.127|6.0555|4.2495|0.031243|0.972214|0.982688|-0.141617|-0.0146327|-0.0993813|Intake assembly + engine|4293.61|1|1|1
/2026 MASTER INTAKE v2:1/Engine:1/(BRACKETS)11-15-2000-00-H16_Uchyt2 v16:1/90751A113_18-8 Stainless Steel Socket Head Screws (1):3|Body1|0.000568632|0.132437|3.01373|36.227|-6.0554|4.2434|0.0312125|0.756651|0.767153|0.124742|0.0146113|-0.0874145|Intake assembly + engine|4293.61|1|1|1
/2026 MASTER INTAKE v2:1/Engine:1/(BRACKETS)11-15-2000-00-H16_Uchyt2 v16:1/90751A113_18-8 Stainless Steel Socket Head Screws (1):4|Body1|0.000568632|0.132437|3.01373|41.127|-6.0554|4.2434|0.0312125|0.972184|0.982687|0.141614|0.0146113|-0.0992379|Intake assembly + engine|4293.61|1|1|1
/2026 MASTER INTAKE v2:1/Engine:1/M3x6-Pulkul-Torx (1):2|Body1|0.000256143|0.0596569|1.58461|32.469|-4.0551|0.61746|0.00432492|0.270141|0.274257|0.033725|0.000636453|-0.00513522|Intake assembly + engine|4293.61|1|1|1
/2026 MASTER INTAKE v2:1/Engine:1/M3x6-Pulkul-Torx (1):3|Body1|0.000256143|0.0596569|1.58461|32.469|-5.2405|5.9722|0.0161857|0.279176|0.277082|0.0435834|0.0080195|-0.0496692|Intake assembly + engine|4293.61|1|1|1
