timestamp,can_msg.data,can_msg.dlc,can_msg.id,glow_plug_i,glow_plug_v,header.frame_id,header.stamp.nanosec,header.stamp.sec,sekevence
1763322600240021785,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,239071581,1763322600,0
1763322600324362372,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,323642759,1763322600,0
1763322600436991250,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,436476341,1763322600,0
1763322600532461228,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,531117266,1763322600,0
1763322600678471942,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,677788617,1763322600,0
1763322600750093034,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,749709195,1763322600,0
1763322600833420697,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,831834848,1763322600,0
1763322600925353123,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,925156100,1763322600,0
1763322601039202509,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,38864111,1763322601,0
1763322601131850456,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,131452121,1763322601,0
1763322601237611497,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,236777965,1763322601,0
1763322601330603986,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,330390867,1763322601,0
1763322601434644715,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,433618223,1763322601,0
1763322601527605908,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,527005047,1763322601,0
1763322601682469006,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,682045904,1763322601,0
1763322601757356103,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,756868681,1763322601,0
1763322601840606394,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,839316992,1763322601,0
1763322601933406692,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,932952774,1763322601,0
1763322602045450108,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,44964542,1763322602,0
1763322602127538136,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,127112378,1763322602,0
1763322602240305744,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,239874802,1763322602,0
1763322602332773984,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,332491841,1763322602,0
1763322602445556727,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,445186489,1763322602,0
1763322602528672688,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,527709108,1763322602,0
1763322602683622481,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,683087443,1763322602,0
1763322602755894136,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,755631001,1763322602,0
1763322602838580530,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,838234675,1763322602,0
1763322602931549119,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,930947170,1763322602,0
1763322603045906322,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,45395476,1763322603,0
1763322603137062891,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,136116687,1763322603,0
1763322603249559209,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,248597710,1763322603,0
1763322603332188647,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,331599594,1763322603,0
1763322603448514805,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,443796169,1763322603,0
1763322603542180068,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,541459015,1763322603,0
1763322603686133307,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,685685693,1763322603,0
1763322603758971331,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,758215654,1763322603,0
1763322603852067220,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,851552502,1763322603,0
1763322603934858706,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,934291668,1763322603,0
1763322604048360749,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,47554033,1763322604,0
1763322604142345727,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,141923009,1763322604,0
1763322604245566506,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,244915180,1763322604,0
1763322604337677571,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,337360356,1763322604,0
1763322604451271874,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,450808004,1763322604,0
1763322604544162808,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,543015773,1763322604,0
1763322604689276049,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,688354133,1763322604,0
1763322604762090460,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,761574782,1763322604,0
1763322604845747738,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,845316124,1763322604,0
1763322604939636908,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,939183726,1763322604,0
1763322605052872590,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,52285553,1763322605,0
1763322605136336432,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,135519508,1763322605,0
1763322605248610585,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,248155131,1763322605,0
1763322605343515947,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,343014190,1763322605,0
1763322605457157743,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,456455378,1763322605,0
