timestamp,data
1763322648315117373,1.0
1763322648628301096,2.0
1763322648705980884,3.0
1763322648912971253,4.0
1763322648951039965,5.0
1763322648977715008,6.0
1763322649087141766,7.0
1763322649125641454,8.0
1763322649180922641,9.0
1763322649250948658,10.0
1763322649284552005,11.0
1763322649314674689,12.0
1763322649355740611,13.0
1763322649378226800,14.0
1763322649441324129,15.0
1763322649470883966,16.0
1763322649511640449,17.0
1763322649650941061,18.0
1763322649798554357,19.0
1763322649819596966,20.0
1763322650146238149,21.0
1763322650392947935,22.0
1763322650493464095,23.0
1763322650664424898,24.0
1763322650717781323,25.0
1763322650796919514,26.0
1763322650934524839,27.0
1763322650963008264,28.0
1763322651180367530,29.0
1763322651335334071,30.0
1763322651737078920,31.0
1763322655195290704,32.0
1763322655418933259,33.0
1763322655477636629,34.0
1763322655657342729,35.0
1763322655837660701,36.0
1763322655957397962,37.0
1763322656101408139,38.0
1763322656198136619,39.0
1763322656290167701,40.0
1763322656632565935,41.0
1763322656939164623,42.0
1763322657290578563,43.0
1763322657393804890,44.0
1763322657654112897,45.0
1763322657828042000,46.0
1763322658233217255,47.0
1763322658826040737,48.0
1763322659741620181,49.0
1763322659832492940,50.0
1763322659912104440,51.0
1763322660059756040,52.0
1763322660277873180,53.0
1763322660532715277,54.0
1763322660874680735,55.0
1763322661317165128,56.0
1763322662271130005,57.0
1763322662536989415,58.0
1763322663896981907,59.0
1763322664346767815,60.0
1763322664691160365,61.0
1763322664951492031,62.0
1763322665211200922,63.0
1763322665395167313,64.0
1763322665656059820,65.0
1763322666056584616,66.0
1763322666430596155,67.0
1763322666691659297,68.0
1763322667158918056,69.0
1763322667619891334,70.0
1763322667735257077,71.0
1763322668250446473,72.0
1763322668366641852,73.0
1763322668959910822,74.0
1763322669342972088,75.0
1763322669502229041,76.0
1763322669663987174,77.0
1763322670179425441,78.0
1763322670618326293,79.0
1763322671202717348,80.0
1763322671423256597,81.0
1763322671755223694,82.0
1763322672372011311,83.0
1763322672594797734,84.0
1763322673294384718,85.0
1763322673540076208,86.0
1763322673579277342,85.0
1763322673717964427,86.0
1763322674036054673,87.0
1763322674323121897,88.0
1763322674482355874,89.0
1763322674693087354,90.0
1763322674827444850,91.0
1763322675106175705,92.0
1763322675394888923,93.0
1763322675529461560,94.0
1763322675586912146,95.0
1763322676125707146,96.0
1763322676214109762,97.0
1763322676351302113,98.0
1763322676497662006,99.0
1763322676807860522,100.0
1763322687751305955,99.0
1763322688217498801,98.0
1763322688445410993,97.0
1763322688772332780,96.0
1763322688876439555,95.0
1763322688983445975,94.0
1763322689265116828,93.0
1763322689831027492,92.0
1763322690002295763,91.0
1763322690104111123,90.0
1763322690147093976,89.0
1763322691052476132,88.0
1763322691184961366,87.0
1763322691289978457,86.0
1763322691455896439,85.0
1763322691593562119,84.0
1763322691775385084,83.0
1763322692283531421,82.0
1763322692359475603,81.0
1763322692456451774,80.0
1763322692959381707,79.0
1763322692982579038,78.0
1763322693377688948,77.0
1763322693804134330,76.0
1763322693848783076,74.0
1763322694155462349,73.0
1763322694280275858,72.0
1763322694378781060,71.0
1763322694995368769,70.0
1763322695236941241,69.0
1763322695424587975,68.0
1763322695672230076,67.0
1763322695875617092,66.0
1763322696146357812,65.0
1763322696396293778,64.0
1763322696712445045,63.0
1763322696846854400,62.0
1763322697011918207,61.0
1763322697206707225,60.0
1763322697273753473,59.0
1763322697322982096,58.0
1763322697963741387,57.0
1763322698136254835,56.0
1763322698482534756,55.0
1763322698565439082,54.0
1763322698798764320,53.0
1763322699216066563,52.0
1763322699327495171,51.0
1763322699501598642,50.0
1763322699594484248,49.0
1763322699654174760,48.0
1763322699889852517,47.0
1763322699984078571,46.0
1763322700263257478,45.0
1763322700427439743,44.0
1763322700583129529,43.0
1763322700822892287,42.0
1763322700875997202,41.0
1763322700988004630,40.0
1763322701327419920,39.0
1763322701727192286,38.0
1763322701772775445,37.0
1763322701975823883,36.0
1763322702264256986,35.0
1763322702395993156,34.0
1763322702427391007,33.0
1763322702462898393,32.0
1763322702516939184,31.0
1763322702521452943,30.0
1763322703393697740,29.0
1763322703449795428,28.0
1763322703764249020,27.0
1763322704145007183,26.0
1763322704278014243,25.0
1763322704436429461,24.0
1763322704640145378,23.0
1763322704827332881,22.0
1763322705259625618,21.0
1763322705331991342,20.0
1763322705708553146,19.0
1763322705848812338,18.0
1763322705997874730,17.0
1763322706562116224,16.0
1763322706780194908,15.0
1763322706906605338,13.0
1763322706933826842,11.0
1763322707899371435,10.0
1763322708023177326,9.0
1763322708213502649,8.0
1763322708490779049,7.0
1763322708618440432,6.0
1763322708823720508,5.0
1763322709180353047,4.0
1763322709422567150,3.0
1763322709577365116,2.0
1763322710207710656,1.0
1763322710834984146,0.0
