timestamp,can_msg.data,can_msg.dlc,can_msg.id,engine_subtype,engine_type,fw_version,header.frame_id,header.stamp.nanosec,header.stamp.sec,serial_number
1763322600646735571,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,645741399,1763322600,585
1763322601652645649,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,651363062,1763322601,585
1763322602652835062,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,652351768,1763322602,585
1763322603656392635,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,654869825,1763322603,585
1763322604657060441,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,656499260,1763322604,585
1763322605663010128,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,662583474,1763322605,585
1763322606665945697,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,664268648,1763322606,585
1763322607674134506,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,673593996,1763322607,585
1763322608670102835,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,668435450,1763322608,585
1763322609672937869,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,672241008,1763322609,585
1763322610678837705,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,676461746,1763322610,585
1763322611685321168,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,684681522,1763322611,585
1763322612686463321,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,685956027,1763322612,585
1763322613687477359,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,687145041,1763322613,585
1763322614695847351,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,695263161,1763322614,585
1763322615698126403,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,697387654,1763322615,585
1763322616699711935,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,696435563,1763322616,585
1763322617702742786,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,701783429,1763322617,585
1763322618705702738,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,705462419,1763322618,585
1763322619703728000,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,703177122,1763322619,585
1763322620709547135,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,708581346,1763322620,585
1763322621715174315,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,714413806,1763322621,585
1763322622721126595,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,720687204,1763322622,585
1763322623723881842,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,723368916,1763322623,585
1763322624720655937,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,720440194,1763322624,585
1763322625725550274,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,724830628,1763322625,585
1763322626730231887,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,729994256,1763322626,585
1763322627732176689,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,731581139,1763322627,585
1763322628736510711,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,735670842,1763322628,585
1763322629740588618,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,740122251,1763322629,585
1763322630742511087,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,742185168,1763322630,585
1763322631746024827,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,745644348,1763322631,585
1763322632748522134,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,748092535,1763322632,585
1763322633755560590,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,754744080,1763322633,585
1763322634760078874,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,758718238,1763322634,585
1763322635761419002,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,760946043,1763322635,585
1763322636767505496,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,767212985,1763322636,585
1763322637770097931,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,769550572,1763322637,585
1763322638773859109,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,773635814,1763322638,585
1763322639777921482,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,777091596,1763322639,585
1763322640776061354,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,775038829,1763322640,585
1763322641779221191,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,778807048,1763322641,585
1763322642789879099,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,788891710,1763322642,585
1763322643782428360,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,781738730,1763322643,585
1763322644786282947,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,785556293,1763322644,585
1763322645794750269,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,791866916,1763322645,585
1763322646796691602,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,796315251,1763322646,585
1763322647795789239,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,795446360,1763322647,585
1763322648800496314,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,800236154,1763322648,585
1763322649802810924,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,802286765,1763322649,585
1763322650814061652,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,813549909,1763322650,585
1763322651816507290,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,816164475,1763322651,585
1763322652818895978,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,818632938,1763322652,585
1763322653818828393,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,818585673,1763322653,585
1763322654819390032,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,818403826,1763322654,585
1763322655824926102,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,823523897,1763322655,585
1763322656829022633,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,828674090,1763322656,585
1763322657831659529,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,830671883,1763322657,585
1763322658832769077,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,832411445,1763322658,585
1763322659835650886,[  2  73   0 128  20   2   0  96],8,261,2,20,128,System Info,834957096,1763322659,585
