timestamp,can_msg.data,can_msg.dlc,can_msg.id,header.frame_id,header.stamp.nanosec,header.stamp.sec,runs_aborted,runs_ok,total_runtime
1763322600625471793,[  0  39   0  16   0   0  50 115],8,259,Statistics,624172695,1763322600,16,39,12915
1763322601630712881,[  0  39   0  16   0   0  50 115],8,259,Statistics,630122611,1763322601,16,39,12915
1763322602630781493,[  0  39   0  16   0   0  50 115],8,259,Statistics,630124440,1763322602,16,39,12915
1763322603635086038,[  0  39   0  16   0   0  50 115],8,259,Statistics,633680348,1763322603,16,39,12915
1763322604635859571,[  0  39   0  16   0   0  50 115],8,259,Statistics,635387765,1763322604,16,39,12915
1763322605642212903,[  0  39   0  16   0   0  50 115],8,259,Statistics,641749737,1763322605,16,39,12915
1763322606644117947,[  0  39   0  16   0   0  50 115],8,259,Statistics,643437278,1763322606,16,39,12915
1763322607653383039,[  0  39   0  16   0   0  50 115],8,259,Statistics,652864737,1763322607,16,39,12915
1763322608650037060,[  0  39   0  16   0   0  50 115],8,259,Statistics,649345415,1763322608,16,39,12915
1763322609652015297,[  0  39   0  16   0   0  50 115],8,259,Statistics,651099749,1763322609,16,39,12915
1763322610656404514,[  0  39   0  16   0   0  50 115],8,259,Statistics,656117347,1763322610,16,39,12915
1763322611664600417,[  0  39   0  16   0   0  50 115],8,259,Statistics,663587813,1763322611,16,39,12915
1763322612665592746,[  0  39   0  16   0   0  50 115],8,259,Statistics,664998636,1763322612,16,39,12915
1763322613667235997,[  0  39   0  16   0   0  50 115],8,259,Statistics,666431776,1763322613,16,39,12915
1763322614676094178,[  0  39   0  16   0   0  50 115],8,259,Statistics,674975846,1763322614,16,39,12915
1763322615679863560,[  0  39   0  16   0   0  50 115],8,259,Statistics,676547444,1763322615,16,39,12915
1763322616676634484,[  0  39   0  16   0   0  50 115],8,259,Statistics,675858007,1763322616,16,39,12915
1763322617682288748,[  0  39   0  16   0   0  50 115],8,259,Statistics,681268336,1763322617,16,39,12915
1763322618685636218,[  0  39   0  16   0   0  50 115],8,259,Statistics,685039228,1763322618,16,39,12915
1763322619682951658,[  0  39   0  16   0   0  50 115],8,259,Statistics,682452652,1763322619,16,39,12915
1763322620687624044,[  0  39   0  16   0   0  50 115],8,259,Statistics,686863439,1763322620,16,39,12915
1763322621695303088,[  0  39   0  16   0   0  50 115],8,259,Statistics,693596854,1763322621,16,39,12915
1763322622699488717,[  0  39   0  16   0   0  50 115],8,259,Statistics,697493716,1763322622,16,39,12915
1763322623705152081,[  0  39   0  16   0   0  50 115],8,259,Statistics,702783578,1763322623,16,39,12915
1763322624700220326,[  0  39   0  16   0   0  50 115],8,259,Statistics,699760327,1763322624,16,39,12915
1763322625704786054,[  0  39   0  16   0   0  50 115],8,259,Statistics,704562663,1763322625,16,39,12915
1763322626709709074,[  0  39   0  16   0   0  50 115],8,259,Statistics,709394099,1763322626,16,39,12915
1763322627710904789,[  0  39   0  16   0   0  50 115],8,259,Statistics,710381655,1763322627,16,39,12915
1763322628715755129,[  0  39   0  16   0   0  50 115],8,259,Statistics,715133275,1763322628,16,39,12915
1763322629720017706,[  0  39   0  16   0   0  50 115],8,259,Statistics,719511756,1763322629,16,39,12915
1763322630720855890,[  0  39   0  16   0   0  50 115],8,259,Statistics,720297971,1763322630,16,39,12915
1763322631724881915,[  0  39   0  16   0   0  50 115],8,259,Statistics,724505500,1763322631,16,39,12915
1763322632727286357,[  0  39   0  16   0   0  50 115],8,259,Statistics,726999158,1763322632,16,39,12915
1763322633737056933,[  0  39   0  16   0   0  50 115],8,259,Statistics,733833806,1763322633,16,39,12915
1763322634739373270,[  0  39   0  16   0   0  50 115],8,259,Statistics,737659995,1763322634,16,39,12915
1763322635741326163,[  0  39   0  16   0   0  50 115],8,259,Statistics,740340214,1763322635,16,39,12915
1763322636747140145,[  0  39   0  16   0   0  50 115],8,259,Statistics,746422675,1763322636,16,39,12915
1763322637749971299,[  0  39   0  16   0   0  50 115],8,259,Statistics,748940229,1763322637,16,39,12915
1763322638753172862,[  0  39   0  16   0   0  50 115],8,259,Statistics,752954527,1763322638,16,39,12915
1763322639756473060,[  0  39   0  16   0   0  50 115],8,259,Statistics,756262277,1763322639,16,39,12915
1763322640755017986,[  0  39   0  16   0   0  50 115],8,259,Statistics,754433027,1763322640,16,39,12915
1763322641758586652,[  0  39   0  16   0   0  50 115],8,259,Statistics,758130430,1763322641,16,39,12915
1763322642766786870,[  0  39   0  16   0   0  50 115],8,259,Statistics,766413399,1763322642,16,39,12915
1763322643761781052,[  0  39   0  16   0   0  50 115],8,259,Statistics,761205182,1763322643,16,39,12915
1763322644765188087,[  0  40   0  16   0   0  50 115],8,259,Statistics,764687001,1763322644,16,40,12915
1763322645771456054,[  0  40   0  16   0   0  50 116],8,259,Statistics,771098455,1763322645,16,40,12916
1763322646776511938,[  0  40   0  16   0   0  50 117],8,259,Statistics,775731780,1763322646,16,40,12917
1763322647776318789,[  0  40   0  16   0   0  50 118],8,259,Statistics,775707175,1763322647,16,40,12918
1763322648779967305,[  0  40   0  16   0   0  50 119],8,259,Statistics,779515530,1763322648,16,40,12919
1763322649781978075,[  0  40   0  16   0   0  50 120],8,259,Statistics,781593308,1763322649,16,40,12920
1763322650793089379,[  0  40   0  16   0   0  50 121],8,259,Statistics,792602276,1763322650,16,40,12921
1763322651796399270,[  0  40   0  16   0   0  50 122],8,259,Statistics,795827239,1763322651,16,40,12922
1763322652798202102,[  0  40   0  16   0   0  50 123],8,259,Statistics,797836823,1763322652,16,40,12923
1763322653798105460,[  0  40   0  16   0   0  50 124],8,259,Statistics,797793525,1763322653,16,40,12924
1763322654798524571,[  0  40   0  16   0   0  50 125],8,259,Statistics,797643229,1763322654,16,40,12925
1763322655805222526,[  0  40   0  16   0   0  50 126],8,259,Statistics,803521378,1763322655,16,40,12926
1763322656809199793,[  0  40   0  16   0   0  50 127],8,259,Statistics,807887603,1763322656,16,40,12927
1763322657810983313,[  0  40   0  16   0   0  50 128],8,259,Statistics,810095091,1763322657,16,40,12928
1763322658812191452,[  0  40   0  16   0   0  50 129],8,259,Statistics,811625213,1763322658,16,40,12929
1763322659813558863,[  0  40   0  16   0   0  50 130],8,259,Statistics,813211248,1763322659,16,40,12930
1763322660816155978,[  0  40   0  16   0   0  50 131],8,259,Statistics,814939148,1763322660,16,40,12931
1763322661827694013,[  0  40   0  16   0   0  50 132],8,259,Statistics,826044352,1763322661,16,40,12932
1763322662830100235,[  0  40   0  16   0   0  50 133],8,259,Statistics,829764011,1763322662,16,40,12933
1763322663835631099,[  0  40   0  16   0   0  50 134],8,259,Statistics,834511389,1763322663,16,40,12934
1763322664836526141,[  0  40   0  16   0   0  50 135],8,259,Statistics,835509119,1763322664,16,40,12935
1763322665834471052,[  0  40   0  16   0   0  50 136],8,259,Statistics,833499022,1763322665,16,40,12936
1763322666839326872,[  0  40   0  16   0   0  50 137],8,259,Statistics,839147769,1763322666,16,40,12937
1763322667841242418,[  0  40   0  16   0   0  50 138],8,259,Statistics,840757427,1763322667,16,40,12938
1763322668842795573,[  0  40   0  16   0   0  50 139],8,259,Statistics,841799607,1763322668,16,40,12939
1763322669851828469,[  0  40   0  16   0   0  50 140],8,259,Statistics,851230006,1763322669,16,40,12940
1763322670856136773,[  0  40   0  16   0   0  50 141],8,259,Statistics,855588710,1763322670,16,40,12941
1763322671851824105,[  0  40   0  16   0   0  50 142],8,259,Statistics,851078378,1763322671,16,40,12942
1763322672863223456,[  0  40   0  16   0   0  50 143],8,259,Statistics,862925697,1763322672,16,40,12943
1763322673864583117,[  0  40   0  16   0   0  50 144],8,259,Statistics,863801326,1763322673,16,40,12944
1763322674865835906,[  0  40   0  16   0   0  50 145],8,259,Statistics,865099331,1763322674,16,40,12945
1763322675871707417,[  0  40   0  16   0   0  50 146],8,259,Statistics,871433945,1763322675,16,40,12946
1763322676872892190,[  0  40   0  16   0   0  50 147],8,259,Statistics,872494270,1763322676,16,40,12947
1763322677875307977,[  0  40   0  16   0   0  50 148],8,259,Statistics,874734218,1763322677,16,40,12948
1763322678878454107,[  0  40   0  16   0   0  50 149],8,259,Statistics,877981563,1763322678,16,40,12949
1763322679879294551,[  0  40   0  16   0   0  50 150],8,259,Statistics,878778168,1763322679,16,40,12950
1763322680890002417,[  0  40   0  16   0   0  50 151],8,259,Statistics,889437009,1763322680,16,40,12951
1763322681886009601,[  0  40   0  16   0   0  50 152],8,259,Statistics,885306338,1763322681,16,40,12952
1763322682890671376,[  0  40   0  16   0   0  50 153],8,259,Statistics,889776561,1763322682,16,40,12953
1763322683894405063,[  0  40   0  16   0   0  50 154],8,259,Statistics,894060871,1763322683,16,40,12954
1763322684902406562,[  0  40   0  16   0   0  50 155],8,259,Statistics,901436707,1763322684,16,40,12955
1763322685899720526,[  0  40   0  16   0   0  50 156],8,259,Statistics,898844398,1763322685,16,40,12956
1763322686907449272,[  0  40   0  16   0   0  50 157],8,259,Statistics,906549944,1763322686,16,40,12957
1763322687906978479,[  0  40   0  16   0   0  50 158],8,259,Statistics,906485520,1763322687,16,40,12958
1763322688912957193,[  0  40   0  16   0   0  50 159],8,259,Statistics,912430441,1763322688,16,40,12959
1763322689915003245,[  0  40   0  16   0   0  50 160],8,259,Statistics,913640173,1763322689,16,40,12960
1763322690913197113,[  0  40   0  16   0   0  50 161],8,259,Statistics,912698778,1763322690,16,40,12961
1763322691917952521,[  0  40   0  16   0   0  50 162],8,259,Statistics,917635945,1763322691,16,40,12962
1763322692924303774,[  0  40   0  16   0   0  50 163],8,259,Statistics,922499263,1763322692,16,40,12963
1763322693923002814,[  0  40   0  16   0   0  50 164],8,259,Statistics,922834526,1763322693,16,40,12964
1763322694928867201,[  0  40   0  16   0   0  50 165],8,259,Statistics,928104065,1763322694,16,40,12965
1763322695935726314,[  0  40   0  16   0   0  50 166],8,259,Statistics,935546666,1763322695,16,40,12966
1763322696933243838,[  0  40   0  16   0   0  50 167],8,259,Statistics,932405598,1763322696,16,40,12967
1763322697937255925,[  0  40   0  16   0   0  50 168],8,259,Statistics,935748885,1763322697,16,40,12968
1763322698941251666,[  0  40   0  16   0   0  50 169],8,259,Statistics,939954163,1763322698,16,40,12969
1763322699947313301,[  0  40   0  16   0   0  50 170],8,259,Statistics,946584374,1763322699,16,40,12970
1763322700951075775,[  0  40   0  16   0   0  50 171],8,259,Statistics,950596064,1763322700,16,40,12971
1763322701950990672,[  0  40   0  16   0   0  50 172],8,259,Statistics,950139889,1763322701,16,40,12972
1763322702951424199,[  0  40   0  16   0   0  50 173],8,259,Statistics,950509895,1763322702,16,40,12973
1763322703962121826,[  0  40   0  16   0   0  50 174],8,259,Statistics,961318722,1763322703,16,40,12974
1763322704967031300,[  0  40   0  16   0   0  50 175],8,259,Statistics,965627620,1763322704,16,40,12975
1763322705960534540,[  0  40   0  16   0   0  50 176],8,259,Statistics,960093324,1763322705,16,40,12976
1763322706971767961,[  0  40   0  16   0   0  50 177],8,259,Statistics,970900889,1763322706,16,40,12977
1763322707976289644,[  0  40   0  16   0   0  50 178],8,259,Statistics,974626412,1763322707,16,40,12978
1763322708977776453,[  0  40   0  16   0   0  50 179],8,259,Statistics,977342821,1763322708,16,40,12979
1763322709979903011,[  0  40   0  16   0   0  50 180],8,259,Statistics,979540387,1763322709,16,40,12980
1763322710979422757,[  0  40   0  16   0   0  50 181],8,259,Statistics,979008037,1763322710,16,40,12981
1763322711992826448,[  0  40   0  16   0   0  50 182],8,259,Statistics,991080975,1763322711,16,40,12982
1763322712992615645,[  0  40   0  16   0   0  50 183],8,259,Statistics,992204541,1763322712,16,40,12983
1763322713995859728,[  0  40   0  16   0   0  50 184],8,259,Statistics,995604944,1763322713,16,40,12984
1763322714996110568,[  0  40   0  16   0   0  50 185],8,259,Statistics,994158791,1763322714,16,40,12985
1763322715997749636,[  0  40   0  16   0   0  50 185],8,259,Statistics,997008772,1763322715,16,40,12985
1763322716998241413,[  0  40   0  16   0   0  50 185],8,259,Statistics,997834693,1763322716,16,40,12985
1763322718006792398,[  0  40   0  16   0   0  50 185],8,259,Statistics,5622798,1763322718,16,40,12985
1763322719009019898,[  0  40   0  16   0   0  50 185],8,259,Statistics,8551034,1763322719,16,40,12985
1763322720012578731,[  0  40   0  16   0   0  50 185],8,259,Statistics,11480330,1763322720,16,40,12985
1763322721016636896,[  0  40   0  16   0   0  50 185],8,259,Statistics,15708832,1763322721,16,40,12985
1763322722015022680,[  0  40   0  16   0   0  50 185],8,259,Statistics,14828792,1763322722,16,40,12985
1763322723016695285,[  0  40   0  16   0   0  50 185],8,259,Statistics,16277717,1763322723,16,40,12985
1763322724027287484,[  0  40   0  16   0   0  50 185],8,259,Statistics,26938844,1763322724,16,40,12985
1763322725025665024,[  0  40   0  16   0   0  50 185],8,259,Statistics,25030336,1763322725,16,40,12985
1763322726030326061,[  0  40   0  16   0   0  50 185],8,259,Statistics,29499884,1763322726,16,40,12985
1763322727036408574,[  0  40   0  16   0   0  50 185],8,259,Statistics,35066269,1763322727,16,40,12985
1763322728040162835,[  0  40   0  16   0   0  50 185],8,259,Statistics,39489074,1763322728,16,40,12985
1763322729042213930,[  0  40   0  16   0   0  50 185],8,259,Statistics,41777898,1763322729,16,40,12985
1763322730045995718,[  0  40   0  16   0   0  50 185],8,259,Statistics,45171334,1763322730,16,40,12985
1763322731045076771,[  0  40   0  16   0   0  50 185],8,259,Statistics,44628066,1763322731,16,40,12985
1763322732045817572,[  0  40   0  16   0   0  50 185],8,259,Statistics,45334212,1763322732,16,40,12985
1763322733050569965,[  0  40   0  16   0   0  50 185],8,259,Statistics,48577419,1763322733,16,40,12985
1763322734050798517,[  0  40   0  16   0   0  50 185],8,259,Statistics,50577013,1763322734,16,40,12985
1763322735056711239,[  0  40   0  16   0   0  50 185],8,259,Statistics,55678373,1763322735,16,40,12985
1763322736066594112,[  0  40   0  16   0   0  50 185],8,259,Statistics,65731167,1763322736,16,40,12985
1763322737065258001,[  0  40   0  16   0   0  50 185],8,259,Statistics,64805521,1763322737,16,40,12985
1763322738065218375,[  0  40   0  16   0   0  50 185],8,259,Statistics,64234918,1763322738,16,40,12985
1763322739077893807,[  0  40   0  16   0   0  50 185],8,259,Statistics,76863886,1763322739,16,40,12985
