timestamp,can_msg.data,can_msg.dlc,can_msg.id,ecu_hw_serial_number,eiu_sw_version,header.frame_id,header.stamp.nanosec,header.stamp.sec
1763322600698736141,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,698143408,1763322600
1763322601705416906,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,704163759,1763322601
1763322602704296183,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,703877497,1763322602
1763322603707555711,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,706257989,1763322603
1763322604711051093,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,709484603,1763322604
1763322605714682551,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,714255929,1763322605
1763322606716700174,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,716402896,1763322606
1763322607725688375,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,725451288,1763322607
1763322608721348067,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,720206632,1763322608
1763322609724946621,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,724243839,1763322609
1763322610730246173,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,727909830,1763322610
1763322611736801958,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,736244264,1763322611
1763322612740488167,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,739766602,1763322612
1763322613740452325,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,739955910,1763322613
1763322614747802227,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,747119061,1763322614
1763322615751005117,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,750157377,1763322615
1763322616748643530,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,748039148,1763322616
1763322617753724200,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,753493896,1763322617
