timestamp,ambient_temperature,can_msg.data,can_msg.dlc,can_msg.id,engine_box_pressure,fuel_consumed,fuel_flow,header.frame_id,header.stamp.nanosec,header.stamp.sec
1763322600219052374,22,[  0   0   0   3 184 150  22   0],7,258,945.0800170898438,30,0,Fuel/Ambient,218269497,1763322600
1763322600416138158,22,[  0   0   0   3 184 150  22   0],7,258,945.0800170898438,30,0,Fuel/Ambient,415789296,1763322600
1763322600614221379,22,[  0   0   0   3 184 151  22   0],7,258,945.0999755859375,30,0,Fuel/Ambient,613313447,1763322600
1763322600815515977,22,[  0   0   0   3 184 151  22   0],7,258,945.0999755859375,30,0,Fuel/Ambient,811506234,1763322600
1763322601018359464,22,[  0   0   0   3 184 151  22   0],7,258,945.0999755859375,30,0,Fuel/Ambient,18010794,1763322601
1763322601216314406,22,[  0   0   0   3 184 151  22   0],7,258,945.0999755859375,30,0,Fuel/Ambient,216059207,1763322601
1763322601413142249,22,[  0   0   0   3 184 151  22   0],7,258,945.0999755859375,30,0,Fuel/Ambient,412805002,1763322601
1763322601621057819,22,[  0   0   0   3 184 151  22   0],7,258,945.0999755859375,30,0,Fuel/Ambient,620144223,1763322601
1763322601820546322,22,[  0   0   0   3 184 151  22   0],7,258,945.0999755859375,30,0,Fuel/Ambient,818432443,1763322601
1763322602025072308,22,[  0   0   0   3 184 151  22   0],7,258,945.0999755859375,30,0,Fuel/Ambient,24263256,1763322602
1763322602219495210,22,[  0   0   0   3 184 151  22   0],7,258,945.0999755859375,30,0,Fuel/Ambient,219166380,1763322602
1763322602424716594,22,[  0   0   0   3 184 151  22   0],7,258,945.0999755859375,30,0,Fuel/Ambient,424490547,1763322602
1763322602621759965,22,[  0   0   0   3 184 151  22   0],7,258,945.0999755859375,30,0,Fuel/Ambient,619816901,1763322602
1763322602818423785,22,[  0   0   0   3 184 151  22   0],7,258,945.0999755859375,30,0,Fuel/Ambient,817484301,1763322602
1763322603023534258,22,[  0   0   0   3 184 151  22   0],7,258,945.0999755859375,30,0,Fuel/Ambient,23152339,1763322603
1763322603228903650,22,[  0   0   0   3 184 151  22   0],7,258,945.0999755859375,30,0,Fuel/Ambient,228005126,1763322603
