timestamp,battery_current,battery_voltage,can_msg.data,can_msg.dlc,can_msg.id,flags,header.frame_id,header.stamp.nanosec,header.stamp.sec
1763322600208693252,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,207955143,1763322600
1763322600303495233,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,302327110,1763322600
1763322600405626589,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,405409918,1763322600
1763322600509823568,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,508825909,1763322600
1763322600603190195,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,602733877,1763322600
1763322600729568677,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,729077991,1763322600
1763322600804990679,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,804370778,1763322600
1763322600904664574,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,904063329,1763322600
1763322601008379412,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,7914934,1763322601
1763322601111054643,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,110588949,1763322601
1763322601205934547,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,205386998,1763322601
1763322601308618610,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,308398291,1763322601
1763322601402771670,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,402473175,1763322601
1763322601506718447,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,505957459,1763322601
1763322601610790920,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,609426222,1763322601
1763322601736796129,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,735588774,1763322601
1763322601808972869,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,808398279,1763322601
1763322601911499076,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,911025350,1763322601
1763322602014607969,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,13843749,1763322602
1763322602107183345,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,106456468,1763322602
1763322602209107991,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,208816761,1763322602
1763322602311805307,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,311494844,1763322602
1763322602414566078,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,414064576,1763322602
1763322602507843370,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,507115949,1763322602
1763322602610554317,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,609357874,1763322602
1763322602735230065,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,734986642,1763322602
1763322602807664280,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,807186266,1763322602
1763322602909825245,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,909639294,1763322602
1763322603013083935,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,12785152,1763322603
1763322603116459108,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,115401992,1763322603
1763322603218589070,0.0,13.5,[135   0   0   0   0   0   0   0],5,257,0,Voltage/Current,217655154,1763322603
