timestamp,can_msg.data,can_msg.dlc,can_msg.id,error_mask,error_messages,header.frame_id,header.stamp.nanosec,header.stamp.sec,reset_required
1763322600669185392,[  0   0 128   0   0   0   0   0],8,263,140737488355328,['p0 sens out of range: Ambient pressure sensor out of range. Currently not used.'],Errors,667264216,1763322600,False
1763322601673082327,[  0   0 128   0   0   0   0   0],8,263,140737488355328,['p0 sens out of range: Ambient pressure sensor out of range. Currently not used.'],Errors,671586590,1763322601,False
1763322602673264765,[  0   0 128   0   0   0   0   0],8,263,140737488355328,['p0 sens out of range: Ambient pressure sensor out of range. Currently not used.'],Errors,672694976,1763322602,False
1763322603676722083,[  0   0 128   0   0   0   0   0],8,263,140737488355328,['p0 sens out of range: Ambient pressure sensor out of range. Currently not used.'],Errors,675414793,1763322603,False
1763322604680178071,[  0   0 128   0   0   0   0   0],8,263,140737488355328,['p0 sens out of range: Ambient pressure sensor out of range. Currently not used.'],Errors,678164160,1763322604,False
1763322605683264667,[  0   0 128   0   0   0   0   0],8,263,140737488355328,['p0 sens out of range: Ambient pressure sensor out of range. Currently not used.'],Errors,683012732,1763322605,False
1763322606688344740,[  0   0 128   0   0   0   0   0],8,263,140737488355328,['p0 sens out of range: Ambient pressure sensor out of range. Currently not used.'],Errors,685176241,1763322606,False
1763322607695173780,[  0   0 128   0   0   0   0   0],8,263,140737488355328,['p0 sens out of range: Ambient pressure sensor out of range. Currently not used.'],Errors,694233080,1763322607,False
1763322608689093670,[  0   0 128   0   0   0   0   0],8,263,140737488355328,['p0 sens out of range: Ambient pressure sensor out of range. Currently not used.'],Errors,688624200,1763322608,False
1763322609694231960,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,693828569,1763322609,False
1763322610699386423,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,696955553,1763322610,False
1763322611707048218,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,705150146,1763322611,False
1763322612709618655,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,707698598,1763322612,False
1763322613708231232,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,707906977,1763322613,False
1763322614718849088,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,716139594,1763322614,False
1763322615718541175,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,718328280,1763322615,False
1763322616718232314,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,717236830,1763322616,False
1763322617722918712,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,722622809,1763322617,False
1763322618726863685,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,726019688,1763322618,False
1763322619724495958,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,723751640,1763322619,False
1763322620729910359,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,728837403,1763322620,False
1763322621735828867,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,735104230,1763322621,False
1763322622739328804,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,739058981,1763322622,False
1763322623744165005,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,743583727,1763322623,False
1763322624741950938,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,741256317,1763322624,False
1763322625746052126,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,745538272,1763322625,False
1763322626753217188,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,752922565,1763322626,False
1763322627752503888,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,752169329,1763322627,False
1763322628756773719,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,756313176,1763322628,False
1763322629763027492,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,761869351,1763322629,False
1763322630763816717,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,763323567,1763322630,False
1763322631767770201,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,765778207,1763322631,False
1763322632770102549,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,769605814,1763322632,False
1763322633776724848,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,776108497,1763322633,False
1763322634779635905,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,779220994,1763322634,False
1763322635782917500,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,781645248,1763322635,False
1763322636788467805,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,788144797,1763322636,False
1763322637790719377,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,790097779,1763322637,False
1763322638795654090,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,794975148,1763322638,False
1763322639798440595,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,798238964,1763322639,False
1763322640796654323,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,796469556,1763322640,False
1763322641799957905,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,799318354,1763322641,False
1763322642810833701,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,810370374,1763322642,False
1763322643802883413,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,802333814,1763322643,False
1763322644807920557,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,806975312,1763322644,False
1763322645813299152,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,812509426,1763322645,False
1763322646818722749,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,817143681,1763322646,False
1763322647816871302,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,816263463,1763322647,False
1763322648821391177,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,820895946,1763322648,False
1763322649824579578,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,823235997,1763322649,False
1763322650834892101,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,834145191,1763322650,False
1763322651837521516,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,837176045,1763322651,False
1763322652839705085,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,839306174,1763322652,False
1763322653839263678,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,839070270,1763322653,False
1763322654840016741,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,839077959,1763322654,False
1763322655847131561,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,844764718,1763322655,False
1763322656849195777,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,848867298,1763322656,False
1763322657851649122,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,851252003,1763322657,False
1763322658853787181,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,853154510,1763322658,False
1763322659857124574,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,855847361,1763322659,False
1763322660859609211,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,856595648,1763322660,False
1763322661868770132,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,867203575,1763322661,False
