timestamp,can_msg.data,can_msg.dlc,can_msg.id,error_mask,error_messages,header.frame_id,header.stamp.nanosec,header.stamp.sec,reset_required
1763324762703723846,[  0   0 128   0   0   0   0   0],8,263,140737488355328,['p0 sens out of range: Ambient pressure sensor out of range. Currently not used.'],Errors,703257634,1763324762,False
1763324763706977006,[  0   0 128   0   0   0   0   0],8,263,140737488355328,['p0 sens out of range: Ambient pressure sensor out of range. Currently not used.'],Errors,705981798,1763324763,False
1763324764710666340,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,709698972,1763324764,False
1763324765717817376,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,716964537,1763324765,False
1763324766721068904,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,719268986,1763324766,False
1763324767726806031,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,726219050,1763324767,False
1763324768723684826,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,722936693,1763324768,False
1763324769730467263,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,729199861,1763324769,False
1763324770736274438,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,735339198,1763324770,False
1763324771733856439,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,733238290,1763324771,False
1763324772737590755,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,737031358,1763324772,False
1763324773743882798,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,742869190,1763324773,False
1763324774749685919,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,749131771,1763324774,False
1763324775753498092,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,753112457,1763324775,False
1763324776758285675,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,757372931,1763324776,False
1763324777762212525,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,761312870,1763324777,False
1763324778758917025,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,758501917,1763324778,False
1763324779763350524,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,762430133,1763324779,False
1763324780768262182,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,767713921,1763324780,False
1763324781766520037,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,765989760,1763324781,False
1763324782770552028,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,770066264,1763324782,False
1763324783772454669,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,772018730,1763324783,False
1763324784778126503,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,777460225,1763324784,False
1763324785788876436,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,788343215,1763324785,False
1763324786783621098,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,783175750,1763324786,False
1763324787795373075,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,789421283,1763324787,False
1763324788795608298,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,795089094,1763324788,False
1763324789792531089,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,792080781,1763324789,False
1763324790803374514,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,802542764,1763324790,False
1763324791809171701,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,807849450,1763324791,False
1763324792812125099,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,811722312,1763324792,False
1763324793813310845,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,812650840,1763324793,False
1763324794815575394,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,814915804,1763324794,False
1763324795814396276,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,813818640,1763324795,False
1763324796815733446,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,814934943,1763324796,False
1763324797826533679,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,825558855,1763324797,False
1763324798826625578,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,825746915,1763324798,False
1763324799825386020,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,824501629,1763324799,False
1763324800828933968,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,828236618,1763324800,False
1763324801833969042,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,833406542,1763324801,False
1763324802838597243,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,837927413,1763324802,False
1763324803841680609,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,840918266,1763324803,False
1763324804849271766,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,848618705,1763324804,False
1763324805846250845,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,845615928,1763324805,False
1763324806852161273,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,851748149,1763324806,False
1763324807855725898,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,854899043,1763324807,False
1763324808857155860,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,856800177,1763324808,False
1763324809866490666,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,864745659,1763324809,False
1763324810865502323,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,864902606,1763324810,False
