timestamp,data
1763324804192180650,2.0
1763324804252132217,4.0
1763324804283071192,22.0
1763324804301244558,56.0
1763324804339211239,100.0
1763324855615455989,99.0
1763324855942126392,98.0
1763324856029213937,97.0
1763324856135283887,96.0
1763324856230678385,95.0
1763324856279492987,94.0
1763324856315824217,93.0
1763324856389877504,92.0
1763324856492010652,91.0
1763324856531095634,90.0
1763324856555627176,89.0
1763324856591478145,88.0
1763324856721108878,87.0
1763324856752581505,85.0
1763324856816175789,84.0
1763324856856977553,83.0
1763324856940590316,82.0
1763324856962823918,81.0
1763324856998020001,80.0
1763324857061722575,79.0
1763324857098504240,77.0
1763324857213470878,76.0
1763324857248709202,75.0
1763324857284056231,73.0
1763324857404440644,72.0
1763324857423630732,71.0
1763324857459156867,70.0
1763324857478442475,69.0
1763324857583536771,68.0
1763324857652445789,67.0
1763324857744600067,66.0
1763324857805520088,65.0
1763324857886461340,64.0
1763324857909666823,63.0
1763324857958217328,62.0
1763324858010802780,61.0
1763324858048892169,60.0
1763324858079803320,59.0
1763324858149851037,58.0
1763324858194920136,57.0
1763324858242565065,56.0
1763324858311330243,55.0
1763324858355667047,54.0
1763324858381381640,53.0
1763324858481731031,52.0
1763324858527013667,50.0
1763324858576028368,49.0
1763324858703078697,48.0
1763324858768448261,45.0
1763324858918352293,44.0
1763324858987908614,43.0
1763324859091757492,42.0
1763324859124556852,41.0
1763324859219725750,40.0
1763324859252140306,39.0
1763324859291500523,38.0
1763324859314559317,37.0
1763324859356976425,36.0
1763324859400934442,35.0
1763324859422661768,34.0
1763324859467450545,33.0
1763324859496257677,32.0
1763324859547668752,31.0
1763324859580204589,30.0
1763324859671793296,29.0
1763324859690939704,28.0
1763324859760552890,27.0
1763324859813770412,25.0
1763324859885058301,24.0
1763324859907036638,23.0
1763324859955786857,22.0
1763324860030373815,21.0
1763324860072014660,20.0
1763324860123332678,19.0
1763324860152650344,18.0
1763324860237058508,17.0
1763324860277531951,16.0
1763324860303154992,15.0
1763324860359044858,14.0
1763324860424568601,13.0
1763324860497194614,12.0
1763324860556487294,10.0
1763324860626944713,9.0
1763324860789431418,8.0
1763324860816379942,7.0
1763324860900104645,6.0
1763324860994129566,5.0
1763324861044181045,4.0
1763324861294918863,3.0
1763324861365611932,2.0
1763324861413092989,1.0
1763324861463723418,0.0
1763324866319261905,1.0
1763324867247137296,2.0
1763324867366402414,3.0
1763324867505571579,4.0
1763324867618405920,5.0
1763324867839418113,6.0
1763324869101624826,7.0
1763324869187773717,8.0
1763324869268823746,9.0
1763324869645518441,10.0
1763324870282892022,11.0
1763324870608176184,12.0
1763324871002240636,13.0
1763324871219205184,14.0
1763324871343500270,15.0
1763324871428139741,16.0
1763324871572096858,17.0
1763324871694195861,18.0
1763324871877559023,20.0
1763324871923233476,21.0
1763324872028065062,22.0
1763324872058673270,23.0
1763324872296190035,24.0
1763324873001488297,25.0
1763324873275385291,26.0
1763324873602304580,27.0
1763324873684340285,28.0
1763324873714112262,29.0
1763324873806684732,31.0
1763324873837420877,32.0
1763324874211042376,33.0
1763324874345195185,34.0
1763324874562363037,35.0
1763324874788474360,36.0
1763324874908131360,37.0
1763324875104164241,38.0
1763324875257217828,39.0
1763324875299399420,40.0
1763324875350728229,42.0
1763324875447472578,43.0
1763324875572136408,45.0
1763324875794920856,46.0
1763324875908155176,47.0
1763324876946718672,48.0
1763324877025039914,49.0
1763324877080441784,50.0
1763324877106093789,51.0
1763324877138677920,52.0
1763324877173523927,53.0
1763324877224182938,54.0
1763324877338094323,55.0
1763324877383740394,56.0
1763324877479339199,57.0
1763324877556799794,58.0
1763324877741879333,59.0
1763324877861327503,60.0
1763324877976749396,61.0
1763324878274187060,62.0
1763324878484726060,63.0
1763324878598912456,65.0
1763324878788274179,66.0
1763324878883385428,67.0
1763324878923129591,68.0
1763324878979161740,71.0
1763324879008314128,72.0
1763324879078915207,73.0
1763324879129729357,77.0
1763324879172997424,78.0
1763324879561371679,79.0
1763324879842729426,80.0
1763324880839122148,81.0
1763324881168212741,82.0
1763324881273779351,83.0
1763324881356585756,84.0
1763324881375775592,85.0
1763324881471880837,87.0
