timestamp,ambient_temperature,can_msg.data,can_msg.dlc,can_msg.id,engine_box_pressure,fuel_consumed,fuel_flow,header.frame_id,header.stamp.nanosec,header.stamp.sec
1763324729750427629,20,[  0   0   0  34 184 175  20   0],7,258,945.5800170898438,340,0,Fuel/Ambient,749898921,1763324729
1763324729951920330,20,[  0   0   0  34 184 175  20   0],7,258,945.5800170898438,340,0,Fuel/Ambient,951156356,1763324729
1763324730146700502,20,[  0   0   0  34 184 175  20   0],7,258,945.5800170898438,340,0,Fuel/Ambient,145908496,1763324730
1763324730351418989,20,[  0   0   0  34 184 175  20   0],7,258,945.5800170898438,340,0,Fuel/Ambient,350564487,1763324730
1763324730550057335,20,[  0   0   0  34 184 175  20   0],7,258,945.5800170898438,340,0,Fuel/Ambient,546586525,1763324730
1763324730753230051,20,[  0   0   0  34 184 175  20   0],7,258,945.5800170898438,340,0,Fuel/Ambient,752688575,1763324730
1763324730950924806,20,[  0   0   0  34 184 176  20   0],7,258,945.5999755859375,340,0,Fuel/Ambient,948665141,1763324730
1763324731153489519,20,[  0   0   0  34 184 176  20   0],7,258,945.5999755859375,340,0,Fuel/Ambient,152588136,1763324731
1763324731358226728,20,[  0   0   0  34 184 176  20   0],7,258,945.5999755859375,340,0,Fuel/Ambient,357964582,1763324731
1763324731554435138,20,[  0   0   0  34 184 176  20   0],7,258,945.5999755859375,340,0,Fuel/Ambient,553826878,1763324731
1763324731753133967,20,[  0   0   0  34 184 176  20   0],7,258,945.5999755859375,340,0,Fuel/Ambient,752488906,1763324731
1763324731952152350,20,[  0   0   0  34 184 176  20   0],7,258,945.5999755859375,340,0,Fuel/Ambient,951270295,1763324731
1763324732158641223,20,[  0   0   0  34 184 176  20   0],7,258,945.5999755859375,340,0,Fuel/Ambient,158350340,1763324732
1763324732355364615,20,[  0   0   0  34 184 176  20   0],7,258,945.5999755859375,340,0,Fuel/Ambient,355021764,1763324732
1763324732562336979,20,[  0   0   0  34 184 176  20   0],7,258,945.5999755859375,340,0,Fuel/Ambient,561667118,1763324732
1763324732755186679,20,[  0   0   0  34 184 176  20   0],7,258,945.5999755859375,340,0,Fuel/Ambient,752263297,1763324732
1763324732960109044,20,[  0   0   0  34 184 176  20   0],7,258,945.5999755859375,340,0,Fuel/Ambient,959595344,1763324732
1763324733155133097,20,[  0   0   0  34 184 176  20   0],7,258,945.5999755859375,340,0,Fuel/Ambient,154450980,1763324733
1763324733363769733,20,[  0   0   0  34 184 176  20   0],7,258,945.5999755859375,340,0,Fuel/Ambient,362694141,1763324733
1763324733558410999,20,[  0   0   0  34 184 176  20   0],7,258,945.5999755859375,340,0,Fuel/Ambient,558194902,1763324733
1763324733757611756,20,[  0   0   0  34 184 177  20   0],7,258,945.6199951171875,340,0,Fuel/Ambient,755906143,1763324733
1763324733963985943,20,[  0   0   0  34 184 177  20   0],7,258,945.6199951171875,340,0,Fuel/Ambient,962776686,1763324733
1763324734165059964,20,[  0   0   0  34 184 177  20   0],7,258,945.6199951171875,340,0,Fuel/Ambient,164635128,1763324734
1763324734364389780,20,[  0   0   0  34 184 177  20   0],7,258,945.6199951171875,340,0,Fuel/Ambient,363596750,1763324734
1763324734558587845,20,[  0   0   0  34 184 177  20   0],7,258,945.6199951171875,340,0,Fuel/Ambient,557944385,1763324734
1763324734765332373,20,[  0   0   0  34 184 177  20   0],7,258,945.6199951171875,340,0,Fuel/Ambient,765077587,1763324734
1763324734960210636,20,[  0   0   0  34 184 177  20   0],7,258,945.6199951171875,340,0,Fuel/Ambient,959887177,1763324734
1763324735166060887,20,[  0   0   0  34 184 178  20   0],7,258,945.6400146484375,340,0,Fuel/Ambient,165885237,1763324735
1763324735364130952,20,[  0   0   0  34 184 178  20   0],7,258,945.6400146484375,340,0,Fuel/Ambient,363381218,1763324735
1763324735563821989,20,[  0   0   0  34 184 178  20   0],7,258,945.6400146484375,340,0,Fuel/Ambient,563182400,1763324735
1763324735769884402,20,[  0   0   0  34 184 178  20   0],7,258,945.6400146484375,340,0,Fuel/Ambient,769685104,1763324735
1763324735967733761,20,[  0   0   0  34 184 178  20   0],7,258,945.6400146484375,340,0,Fuel/Ambient,966988603,1763324735
1763324736168043045,20,[  0   0   0  34 184 178  20   0],7,258,945.6400146484375,340,0,Fuel/Ambient,166940220,1763324736
1763324736373827730,20,[  0   0   0  34 184 178  20   0],7,258,945.6400146484375,340,0,Fuel/Ambient,371664354,1763324736
1763324736568405515,20,[  0   0   0  34 184 178  20   0],7,258,945.6400146484375,340,0,Fuel/Ambient,567957831,1763324736
1763324736776267336,20,[  0   0   0  34 184 178  20   0],7,258,945.6400146484375,340,0,Fuel/Ambient,775145119,1763324736
1763324736971180835,20,[  0   0   0  34 184 178  20   0],7,258,945.6400146484375,340,0,Fuel/Ambient,970804192,1763324736
1763324737168222064,20,[  0   0   0  34 184 178  20   0],7,258,945.6400146484375,340,0,Fuel/Ambient,167242729,1763324737
1763324737373960319,20,[  0   0   0  34 184 178  20   0],7,258,945.6400146484375,340,0,Fuel/Ambient,373217242,1763324737
