timestamp,can_msg.data,can_msg.dlc,can_msg.id,glow_plug_i,glow_plug_v,header.frame_id,header.stamp.nanosec,header.stamp.sec,sekevence
1763324729696744541,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,679482588,1763324729,0
1763324729770921574,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,770495010,1763324729,0
1763324729853662478,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,853249067,1763324729,0
1763324729973039463,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,971837758,1763324729,0
1763324730054583847,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,53816193,1763324730,0
1763324730169274911,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,168130774,1763324730,0
1763324730262713656,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,258635577,1763324730,0
1763324730372802413,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,371866310,1763324730,0
1763324730465765219,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,464555097,1763324730,0
1763324730610183544,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,608150953,1763324730,0
1763324730681396907,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,680615397,1763324730,0
1763324730774773316,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,773752188,1763324730,0
1763324730856997353,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,856184227,1763324730,0
1763324730969451632,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,968758923,1763324730,0
1763324731062399494,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,61496223,1763324731,0
1763324731174088809,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,173201986,1763324731,0
1763324731267693700,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,266836510,1763324731,0
1763324731380004747,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,378539168,1763324731,0
1763324731461476108,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,460995304,1763324731,0
1763324731617408505,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,616751284,1763324731,0
1763324731690335642,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,689415859,1763324731,0
1763324731773565384,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,772689121,1763324731,0
1763324731867502822,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,866853889,1763324731,0
1763324731972575735,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,972030323,1763324731,0
1763324732065983185,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,65553550,1763324732,0
1763324732179910630,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,179465474,1763324732,0
1763324732263350390,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,262578992,1763324732,0
1763324732377303371,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,376050529,1763324732,0
1763324732469004121,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,468461429,1763324732,0
1763324732623657854,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,622838264,1763324732,0
1763324732701257859,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,700848640,1763324732,0
1763324732773561632,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,773171517,1763324732,0
1763324732869679983,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,867879746,1763324732,0
1763324732980801839,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,980434188,1763324732,0
1763324733072742208,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,72312412,1763324733,0
1763324733176143590,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,174965214,1763324733,0
1763324733269786756,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,269125183,1763324733,0
1763324733384822210,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,383095957,1763324733,0
1763324733466772937,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,466189060,1763324733,0
1763324733621573361,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,620757611,1763324733,0
1763324733694738773,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,694270386,1763324733,0
1763324733777652194,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,776778620,1763324733,0
1763324733869572115,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,869074352,1763324733,0
1763324733985286103,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,984638962,1763324733,0
1763324734071800320,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,70304020,1763324734,0
1763324734185703351,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,184657359,1763324734,0
1763324734284609117,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,284139065,1763324734,0
1763324734385212848,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,384752173,1763324734,0
1763324734476960353,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,476032186,1763324734,0
1763324734621711007,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,621062714,1763324734,0
1763324734694291264,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,693811580,1763324734,0
1763324734786197010,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,785670382,1763324734,0
1763324734878201956,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,877908610,1763324734,0
1763324734981265322,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,980648133,1763324734,0
1763324735074469606,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,73924386,1763324735,0
1763324735187148405,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,186954292,1763324735,0
1763324735279225417,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,279007688,1763324735,0
1763324735384800867,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,384188286,1763324735,0
1763324735478447427,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,477660989,1763324735,0
1763324735626327003,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,625520116,1763324735,0
1763324735698144630,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,697931669,1763324735,0
1763324735791343059,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,791026033,1763324735,0
1763324735876225937,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,873103802,1763324735,0
1763324735988238491,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,987687447,1763324735,0
1763324736081970365,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,81083094,1763324736,0
1763324736185069989,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,184883843,1763324736,0
1763324736278886919,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,278229698,1763324736,0
1763324736394362764,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,393440133,1763324736,0
1763324736477584031,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,476544247,1763324736,0
1763324736630736896,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,629971290,1763324736,0
1763324736704224713,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,703533668,1763324736,0
1763324736796809026,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,795921019,1763324736,0
1763324736878875020,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,878021126,1763324736,0
1763324736991763518,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,991524636,1763324736,0
1763324737084570649,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,84132374,1763324737,0
1763324737188765291,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,187867364,1763324737,0
1763324737281629479,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,280874978,1763324737,0
1763324737394922461,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,394087767,1763324737,0
1763324737480275041,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,479996959,1763324737,0
1763324737635775765,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,635035856,1763324737,0
1763324737708293240,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,707617203,1763324737,0
1763324737790781510,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,790365603,1763324737,0
1763324737886803226,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,886399223,1763324737,0
1763324738000945047,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,677237,1763324738,0
1763324738083030882,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,82449758,1763324738,0
1763324738196415771,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,194883087,1763324738,0
1763324738288613203,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,288061519,1763324738,0
1763324738400801666,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,400308222,1763324738,0
1763324738483465138,[0 0 0 0 0 0 0 0],7,264,[0. 0.],[0. 0.],Glow Plugs,482480875,1763324738,0
