timestamp,can_msg.data,can_msg.dlc,can_msg.id,ecu_hw_serial_number,eiu_sw_version,header.frame_id,header.stamp.nanosec,header.stamp.sec
1763324729695600180,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,625681612,1763324729
1763324730630376111,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,629739114,1763324730
1763324731637409870,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,636790122,1763324731
1763324732650090948,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,648389207,1763324732
1763324733642779632,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,641889129,1763324733
1763324734644156552,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,641696565,1763324734
1763324735647824732,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,647496762,1763324735
1763324736651294811,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,650518069,1763324736
1763324737656096175,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,655651979,1763324737
1763324738658312826,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,657182738,1763324738
1763324739665306038,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,664728721,1763324739
1763324740672390365,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,668597440,1763324740
1763324741667796503,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,667385972,1763324741
1763324742675186935,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,674567763,1763324742
1763324743676163858,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,671587663,1763324743
1763324744678003519,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,677554747,1763324744
1763324745681533987,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,680424923,1763324745
1763324746689727575,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,688171755,1763324746
1763324747684961362,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,684191020,1763324747
1763324748688249622,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,687816979,1763324748
1763324749696039656,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,694954816,1763324749
1763324750698290202,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,697641397,1763324750
1763324751701556096,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,700935867,1763324751
1763324752707610053,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,707371972,1763324752
1763324753706848226,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,706286941,1763324753
1763324754713156544,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,712820061,1763324754
1763324755712603315,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,711756141,1763324755
1763324756721034808,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,720761270,1763324756
1763324757719557178,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,718954485,1763324757
1763324758729672897,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,729364735,1763324758
1763324759727523828,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,725952776,1763324759
1763324760734171735,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,733727315,1763324760
1763324761732874310,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,732536419,1763324761
1763324762735018587,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,734561623,1763324762
1763324763737444508,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,737064441,1763324763
1763324764742266364,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,741248052,1763324764
1763324765749088310,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,747972973,1763324765
1763324766755000723,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,753985931,1763324766
1763324767756843707,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,756627802,1763324767
1763324768754523149,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,753811240,1763324768
1763324769763189601,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,762662365,1763324769
1763324770767144154,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,766274579,1763324770
1763324771767361600,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,764361480,1763324771
