timestamp,can_msg.data,can_msg.dlc,can_msg.id,header.frame_id,header.stamp.nanosec,header.stamp.sec,runs_aborted,runs_ok,total_runtime
1763324730557124972,[  0  41   0  16   0   0  50 247],8,259,Statistics,556586664,1763324730,16,41,13047
1763324731565633750,[  0  41   0  16   0   0  50 247],8,259,Statistics,565221363,1763324731,16,41,13047
1763324732572705857,[  0  41   0  16   0   0  50 247],8,259,Statistics,571125141,1763324732,16,41,13047
1763324733569599179,[  0  41   0  16   0   0  50 247],8,259,Statistics,568548707,1763324733,16,41,13047
1763324734568628529,[  0  41   0  16   0   0  50 247],8,259,Statistics,568102541,1763324734,16,41,13047
1763324735573677455,[  0  41   0  16   0   0  50 247],8,259,Statistics,573317740,1763324735,16,41,13047
1763324736578761401,[  0  41   0  16   0   0  50 247],8,259,Statistics,578298805,1763324736,16,41,13047
1763324737582793606,[  0  41   0  16   0   0  50 247],8,259,Statistics,582324898,1763324737,16,41,13047
1763324738585351315,[  0  41   0  16   0   0  50 247],8,259,Statistics,584638894,1763324738,16,41,13047
1763324739589832123,[  0  41   0  16   0   0  50 247],8,259,Statistics,589514713,1763324739,16,41,13047
1763324740597109539,[  0  41   0  16   0   0  50 247],8,259,Statistics,595969082,1763324740,16,41,13047
1763324741593562756,[  0  41   0  16   0   0  50 247],8,259,Statistics,592661245,1763324741,16,41,13047
1763324742601413223,[  0  41   0  16   0   0  50 247],8,259,Statistics,600656833,1763324742,16,41,13047
1763324743599483755,[  0  41   0  16   0   0  50 247],8,259,Statistics,599219657,1763324743,16,41,13047
1763324744605082259,[  0  41   0  16   0   0  50 247],8,259,Statistics,604594927,1763324744,16,41,13047
1763324745608405173,[  0  41   0  16   0   0  50 247],8,259,Statistics,607487726,1763324745,16,41,13047
1763324746615095100,[  0  41   0  16   0   0  50 247],8,259,Statistics,614425975,1763324746,16,41,13047
1763324747612090788,[  0  41   0  16   0   0  50 247],8,259,Statistics,611576320,1763324747,16,41,13047
1763324748616684146,[  0  41   0  16   0   0  50 247],8,259,Statistics,615473384,1763324748,16,41,13047
1763324749622507860,[  0  41   0  16   0   0  50 247],8,259,Statistics,622182033,1763324749,16,41,13047
1763324750625369930,[  0  41   0  16   0   0  50 247],8,259,Statistics,624845894,1763324750,16,41,13047
1763324751627879081,[  0  41   0  16   0   0  50 247],8,259,Statistics,627648455,1763324751,16,41,13047
1763324752633511562,[  0  41   0  16   0   0  50 247],8,259,Statistics,632882054,1763324752,16,41,13047
1763324753634571284,[  0  41   0  16   0   0  50 247],8,259,Statistics,633512524,1763324753,16,41,13047
1763324754639165412,[  0  41   0  16   0   0  50 247],8,259,Statistics,638869953,1763324754,16,41,13047
1763324755639641151,[  0  41   0  16   0   0  50 247],8,259,Statistics,638994778,1763324755,16,41,13047
1763324756649598670,[  0  41   0  16   0   0  50 247],8,259,Statistics,648449349,1763324756,16,41,13047
1763324757647288777,[  0  41   0  16   0   0  50 247],8,259,Statistics,646675172,1763324757,16,41,13047
1763324758655837700,[  0  41   0  16   0   0  50 247],8,259,Statistics,655527905,1763324758,16,41,13047
1763324759653258962,[  0  41   0  16   0   0  50 247],8,259,Statistics,653019217,1763324759,16,41,13047
1763324760661872995,[  0  41   0  16   0   0  50 247],8,259,Statistics,661472672,1763324760,16,41,13047
1763324761660716243,[  0  41   0  16   0   0  50 247],8,259,Statistics,660467537,1763324761,16,41,13047
1763324762662319106,[  0  41   0  16   0   0  50 247],8,259,Statistics,661555612,1763324762,16,41,13047
1763324763664850468,[  0  41   0  16   0   0  50 247],8,259,Statistics,664544514,1763324763,16,41,13047
1763324764668826076,[  0  41   0  16   0   0  50 247],8,259,Statistics,667858645,1763324764,16,41,13047
1763324765676146329,[  0  41   0  16   0   0  50 247],8,259,Statistics,675570325,1763324765,16,41,13047
1763324766677413393,[  0  41   0  16   0   0  50 247],8,259,Statistics,676916397,1763324766,16,41,13047
1763324767684055263,[  0  41   0  16   0   0  50 247],8,259,Statistics,683441658,1763324767,16,41,13047
1763324768680927306,[  0  41   0  16   0   0  50 247],8,259,Statistics,680437286,1763324768,16,41,13047
1763324769687279818,[  0  41   0  16   0   0  50 247],8,259,Statistics,687081832,1763324769,16,41,13047
1763324770694943327,[  0  41   0  16   0   0  50 247],8,259,Statistics,693985880,1763324770,16,41,13047
1763324771691656233,[  0  41   0  16   0   0  50 247],8,259,Statistics,691253286,1763324771,16,41,13047
1763324772696389628,[  0  41   0  16   0   0  50 247],8,259,Statistics,695794584,1763324772,16,41,13047
1763324773701119802,[  0  41   0  16   0   0  50 247],8,259,Statistics,700364692,1763324773,16,41,13047
1763324774708120565,[  0  41   0  16   0   0  50 247],8,259,Statistics,707896819,1763324774,16,41,13047
1763324775713062250,[  0  41   0  16   0   0  50 247],8,259,Statistics,712620135,1763324775,16,41,13047
1763324776716674847,[  0  41   0  16   0   0  50 247],8,259,Statistics,716044154,1763324776,16,41,13047
1763324777720789699,[  0  41   0  16   0   0  50 247],8,259,Statistics,720253183,1763324777,16,41,13047
1763324778714024506,[  0  41   0  16   0   0  50 247],8,259,Statistics,713436949,1763324778,16,41,13047
1763324779721031562,[  0  41   0  16   0   0  50 247],8,259,Statistics,720630150,1763324779,16,41,13047
1763324780727640833,[  0  41   0  16   0   0  50 247],8,259,Statistics,726391895,1763324780,16,41,13047
1763324781725447323,[  0  41   0  16   0   0  50 247],8,259,Statistics,724869783,1763324781,16,41,13047
1763324782728000743,[  0  41   0  16   0   0  50 247],8,259,Statistics,727538947,1763324782,16,41,13047
1763324783731116577,[  0  41   0  16   0   0  50 247],8,259,Statistics,730837023,1763324783,16,41,13047
1763324784737995780,[  0  41   0  16   0   0  50 247],8,259,Statistics,736136629,1763324784,16,41,13047
1763324785747759432,[  0  41   0  16   0   0  50 247],8,259,Statistics,747086083,1763324785,16,41,13047
1763324786741636215,[  0  41   0  16   0   0  50 247],8,259,Statistics,741456854,1763324786,16,41,13047
1763324787748801211,[  0  41   0  16   0   0  50 247],8,259,Statistics,748227511,1763324787,16,41,13047
1763324788753993178,[  0  41   0  16   0   0  50 247],8,259,Statistics,753371221,1763324788,16,41,13047
1763324789751382788,[  0  41   0  16   0   0  50 247],8,259,Statistics,750356763,1763324789,16,41,13047
1763324790761382014,[  0  41   0  16   0   0  50 247],8,259,Statistics,761189372,1763324790,16,41,13047
1763324791766205976,[  0  41   0  16   0   0  50 247],8,259,Statistics,765430290,1763324791,16,41,13047
1763324792766153526,[  0  41   0  16   0   0  50 247],8,259,Statistics,765656114,1763324792,16,41,13047
1763324793772317903,[  0  41   0  16   0   0  50 247],8,259,Statistics,771508297,1763324793,16,41,13047
1763324794767607867,[  0  41   0  16   0   0  50 247],8,259,Statistics,767314648,1763324794,16,41,13047
1763324795772888226,[  0  41   0  16   0   0  50 247],8,259,Statistics,772268925,1763324795,16,41,13047
1763324796775168314,[  0  41   0  16   0   0  50 247],8,259,Statistics,773874192,1763324796,16,41,13047
1763324797787507983,[  0  41   0  16   0   0  50 247],8,259,Statistics,784080883,1763324797,16,41,13047
1763324798784413968,[  0  41   0  16   0   0  50 247],8,259,Statistics,783710603,1763324798,16,41,13047
1763324799783633358,[  0  42   0  16   0   0  50 247],8,259,Statistics,782785511,1763324799,16,42,13047
1763324800787086713,[  0  42   0  16   0   0  50 248],8,259,Statistics,786901815,1763324800,16,42,13048
1763324801794632399,[  0  42   0  16   0   0  50 249],8,259,Statistics,792675711,1763324801,16,42,13049
1763324802796776003,[  0  42   0  16   0   0  50 250],8,259,Statistics,796183998,1763324802,16,42,13050
1763324803802444446,[  0  42   0  16   0   0  50 251],8,259,Statistics,799858504,1763324803,16,42,13051
1763324804807791168,[  0  42   0  16   0   0  50 252],8,259,Statistics,807293180,1763324804,16,42,13052
1763324805804540389,[  0  42   0  16   0   0  50 253],8,259,Statistics,804328323,1763324805,16,42,13053
1763324806810086109,[  0  42   0  16   0   0  50 254],8,259,Statistics,809841979,1763324806,16,42,13054
1763324807813897904,[  0  42   0  16   0   0  50 255],8,259,Statistics,813098217,1763324807,16,42,13055
1763324808814991575,[ 0 42  0 16  0  0 51  0],8,259,Statistics,814809237,1763324808,16,42,13056
1763324809823913128,[ 0 42  0 16  0  0 51  1],8,259,Statistics,823238019,1763324809,16,42,13057
1763324810824296733,[ 0 42  0 16  0  0 51  2],8,259,Statistics,823647736,1763324810,16,42,13058
1763324811827463538,[ 0 42  0 16  0  0 51  3],8,259,Statistics,826765453,1763324811,16,42,13059
1763324812831362840,[ 0 42  0 16  0  0 51  4],8,259,Statistics,830331119,1763324812,16,42,13060
1763324813833432440,[ 0 42  0 16  0  0 51  5],8,259,Statistics,833227670,1763324813,16,42,13061
1763324814837656404,[ 0 42  0 16  0  0 51  6],8,259,Statistics,836592491,1763324814,16,42,13062
1763324815840281068,[ 0 42  0 16  0  0 51  7],8,259,Statistics,837916728,1763324815,16,42,13063
1763324816848394331,[ 0 42  0 16  0  0 51  8],8,259,Statistics,848022424,1763324816,16,42,13064
1763324817844264046,[ 0 42  0 16  0  0 51  9],8,259,Statistics,843854923,1763324817,16,42,13065
1763324818850667043,[ 0 42  0 16  0  0 51 10],8,259,Statistics,850371905,1763324818,16,42,13066
1763324819861194693,[ 0 42  0 16  0  0 51 11],8,259,Statistics,858186827,1763324819,16,42,13067
