timestamp,can_msg.data,can_msg.dlc,can_msg.id,ecu_hw_serial_number,eiu_sw_version,header.frame_id,header.stamp.nanosec,header.stamp.sec
1761498520323762644,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,323443912,1761498520
1761498521332056778,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,331538423,1761498521
1761498522336013819,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,335768946,1761498522
1761498523338539128,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,338301295,1761498523
1761498524342854138,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,342681043,1761498524
1761498525348270088,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,347866201,1761498525
1761498526345429271,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,345214031,1761498526
1761498527349399044,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,348824784,1761498527
1761498528353287068,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,353027539,1761498528
1761498529359220169,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,358909086,1761498529
1761498530365197961,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,364896254,1761498530
1761498531361361324,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,361130852,1761498531
1761498532367959434,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,367392439,1761498532
1761498533374226165,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,373765413,1761498533
1761498534378119594,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,377769086,1761498534
1761498535374905682,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,374626121,1761498535
1761498536380603169,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,380061999,1761498536
1761498537384836576,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,384640538,1761498537
1761498538388307819,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,387765146,1761498538
1761498539391133736,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,390867712,1761498539
1761498540394858987,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,394530016,1761498540
1761498541399919137,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,399729883,1761498541
1761498542397232276,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,396896297,1761498542
1761498543404040668,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,403593743,1761498543
1761498544408534350,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,408318951,1761498544
1761498545413387997,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,412921647,1761498545
1761498546409098160,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,408879593,1761498546
1761498547414692803,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,414454140,1761498547
1761498548420496309,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,420200716,1761498548
1761498549427020982,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,426746254,1761498549
1761498550425833045,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,425236356,1761498550
1761498551432201134,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,431923111,1761498551
1761498552437953175,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,437536363,1761498552
1761498553439983993,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,439725681,1761498553
1761498554435095744,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,434861401,1761498554
1761498555448462252,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,448300039,1761498555
1761498556443537063,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,443148189,1761498556
1761498557448890474,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,448498207,1761498557
1761498558452032861,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,451732917,1761498558
1761498559458640220,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,458298611,1761498559
1761498560463748356,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,463307096,1761498560
1761498561460331678,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,460108440,1761498561
1761498562466505066,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,466201410,1761498562
1761498563469507161,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,469288180,1761498563
1761498564473333015,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,473093905,1761498564
1761498565478256491,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,477919138,1761498565
1761498566476929149,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,476715416,1761498566
1761498567479070886,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,478740542,1761498567
1761498568482095205,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,481823934,1761498568
1761498569487248346,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,486886513,1761498569
1761498570492824220,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,492592726,1761498570
1761498571496405522,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,496230701,1761498571
1761498572499235772,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,498779922,1761498572
1761498573502175154,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,501709224,1761498573
1761498574514709459,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,514030083,1761498574
1761498575510115439,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,509650885,1761498575
1761498576509799839,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,509484887,1761498576
1761498577514034086,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,513597628,1761498577
1761498578518231421,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,517945335,1761498578
1761498579521056808,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,520807650,1761498579
1761498580522715757,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,522440583,1761498580
1761498581528017656,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,527839028,1761498581
1761498582531994589,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,531663926,1761498582
1761498583537545372,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,537361080,1761498583
1761498584542236099,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,542015390,1761498584
1761498585548088669,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,547844536,1761498585
1761498586551420863,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,551107609,1761498586
1761498587553799021,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,553497703,1761498587
1761498588555773011,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,555401195,1761498588
1761498589558013857,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,557767580,1761498589
1761498590560736125,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,560496728,1761498590
1761498591566541659,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,566322743,1761498591
1761498592568333520,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,567972329,1761498592
1761498593571011998,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,570704536,1761498593
1761498594578148909,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,577823591,1761498594
1761498595581672736,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,581374234,1761498595
1761498596575665577,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,575293442,1761498596
1761498597588009694,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,587801626,1761498597
1761498598584479989,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,584248720,1761498598
1761498599587176626,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,586902253,1761498599
1761498600592582580,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,592349968,1761498600
1761498601597849030,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,597363710,1761498601
1761498602602557986,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,602292189,1761498602
1761498603599209827,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,598908510,1761498603
1761498604604018094,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,603671336,1761498604
1761498605606084257,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,605814204,1761498605
1761498606611219716,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,610898046,1761498606
1761498607613070728,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,612905829,1761498607
1761498608623828737,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,623614749,1761498608
1761498609628603696,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,628336908,1761498609
1761498610630910773,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,630420237,1761498610
1761498611633388477,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,633081016,1761498611
1761498612635283805,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,635028345,1761498612
1761498613637490694,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,637242882,1761498613
1761498614641625969,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,641348877,1761498614
1761498615647392508,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,647225305,1761498615
1761498616642156318,[  0   1 135 247   0   1 136  78],8,266,100343,1,System Info 2,641696471,1761498616
