timestamp,data
1761498802035105492,10.0
1761498802284776039,10.0
1761498803284751820,10.0
1761498804284479918,10.0
1761498805284736205,10.0
1761498806284237737,10.0
1761498807284531300,10.0
1761498808284319068,10.0
1761498809284543539,10.0
1761498820035402409,30.0
1761498820097941313,30.0
1761498821098035645,30.0
1761498822098065947,30.0
1761498823097921371,30.0
1761498824097928796,30.0
1761498825097939360,30.0
1761498826097725222,30.0
1761498827098047279,30.0
1761498828098007067,30.0
1761498829097868394,30.0
1761498836034731845,50.0
1761498837036165462,50.0
1761498838036162126,50.0
1761498839035814634,50.0
1761498840036205100,50.0
1761498841035954260,50.0
1761498842035939298,50.0
1761498843036104086,50.0
1761498844035972976,50.0
1761498845036263505,50.0
1761498846036264281,50.0
1761498847035981351,50.0
1761498848036141757,50.0
1761498849036088282,50.0
1761498850036443774,50.0
1761498851035992299,50.0
1761498852035980543,50.0
1761498853035954747,50.0
1761498854036037600,50.0
1761498855035813165,50.0
1761498856036054659,50.0
1761498857036510017,50.0
1761498858035849449,50.0
1761498859036059002,50.0
1761498860036020788,50.0
1761498861036042872,50.0
1761498862036037221,50.0
1761498868038364586,40.0
1761498868961163010,40.0
1761498869961007749,40.0
1761498870961176820,40.0
1761498877080031845,30.0
1761498877716845722,30.0
1761498878716972428,30.0
1761498879716887596,30.0
1761498886040011527,20.0
1761498886824860329,20.0
1761498887824712145,20.0
1761498888824479873,20.0
1761498895041887104,10.0
1761498895060999847,10.0
1761498896061252027,10.0
1761498897061357280,10.0
1761498898061150927,10.0
1761498899061062911,10.0
1761498904047099975,0.0
1761498904966002106,0.0
1761498905965686330,0.0
1761498906966064045,0.0
1761498907965871555,0.0
1761498908965763892,0.0
1761498909965796498,0.0
1761498910965876874,0.0
1761498911965604831,0.0
1761498912966195087,0.0
1761498913965887704,0.0
1761498914965820147,0.0
1761498915965494309,0.0
1761498916965871093,0.0
1761498917965884336,0.0
1761498918965954215,0.0
1761498919965844843,0.0
1761498920965711349,0.0
1761498921966007165,0.0
1761498922965878063,0.0
